Date,Fajr,Fajr-Jamaat,Sunrise,Dhuhr,Dhuhr-Jamaat,Asr,Asr-Jamaat,Maghrib,Isha,Isha-Jamaat
01/02/2024,06:10,06:45,07:50,12:21,12:45,02:30,03:00,04:54,06:24,06:30
02/02/2024,06:09,06:30,07:49,12:22,12:45,02:31,03:00,04:56,06:26,06:45
03/02/2024,06:07,06:30,07:48,12:22,12:45,02:33,03:00,04:58,06:28,06:45
04/02/2024,06:06,06:30,07:46,12:22,12:45,02:34,03:00,05:00,06:30,06:45
05/02/2024,06:05,06:30,07:45,12:22,12:45,02:36,03:00,05:02,06:32,06:45
06/02/2024,06:03,06:30,07:43,12:22,12:45,02:37,03:00,05:04,06:34,06:45
07/02/2024,06:01,06:30,07:41,12:23,12:45,02:39,03:00,05:06,06:36,06:45
08/02/2024,06:00,06:30,07:39,12:23,12:45,02:40,03:00,05:07,06:37,06:45
09/02/2024,05:58,06:15,07:38,12:23,12:45,02:42,03:15,05:08,06:39,07:00
10/02/2024,05:57,06:15,07:38,12:23,12:45,02:43,03:15,05:10,06:40,07:00
11/02/2024,05:55,06:15,07:36,12:23,12:45,02:45,03:15,05:12,06:42,07:00
12/02/2024,05:53,06:15,07:34,12:23,12:45,02:46,03:15,05:14,06:44,07:00
13/02/2024,05:51,06:15,07:32,12:23,12:45,02:48,03:15,05:16,06:46,07:00
14/02/2024,05:50,06:15,07:30,12:23,12:45,02:49,03:15,05:18,06:48,07:00
15/02/2024,05:48,06:15,07:28,12:23,12:45,02:50,03:15,05:20,06:51,07:00
16/02/2024,05:46,06:00,07:26,12:23,12:45,02:52,03:15,05:22,06:52,07:15
17/02/2024,05:44,06:00,07:24,12:23,12:45,02:53,03:15,05:24,06:54,07:15
18/02/2024,05:42,06:00,07:22,12:22,12:45,02:55,03:15,05:25,06:55,07:15
19/02/2024,05:40,06:00,07:20,12:22,12:45,02:56,03:15,05:27,06:57,07:15
20/02/2024,05:38,06:00,07:18,12:22,12:45,02:58,03:15,05:29,06:59,07:15
21/02/2024,05:36,06:00,07:16,12:22,12:45,02:58,03:15,05:31,07:01,07:15
22/02/2024,05:34,06:00,07:14,12:22,12:45,03:00,03:15,05:33,07:03,07:15
23/02/2024,05:32,05:45,07:12,12:22,12:45,03:02,03:30,05:35,07:05,07:30
24/02/2024,05:30,05:45,07:10,12:22,12:45,03:03,03:30,05:37,07:07,07:30
25/02/2024,05:28,05:45,07:08,12:22,12:45,03:05,03:30,05:39,07:09,07:30
26/02/2024,05:26,05:45,07:05,12:22,12:45,03:06,03:30,05:40,07:11,07:30
27/02/2024,05:24,05:45,07:03,12:22,12:45,03:07,03:30,05:43,07:13,07:30
28/02/2024,05:22,05:45,07:01,12:21,12:45,03:09,03:30,05:45,07:15,07:30
29/02/2024,05:20,05:45,06:59,12:21,12:45,03:11,03:30,05:46,07:16,07:30
01/03/2024,,,,,,,,,,
