Date,Fajr,Fajr-Jamaat,Dhuhr,Dhuhr-Jamaat,Asr,Asr-Jamaat,Maghrib,Isha,Isha-Jamaat
01/01/2024,06:38,07:00,12:11,12:45,01:49,02:15,04:04,05:34,06:00
02/01/2024,06:38,07:00,12:12,12:45,01:50,02:15,04:04,05:34,06:00
03/01/2024,06:36,07:00,12:12,12:45,01:51,02:15,04:06,05:36,06:00
04/01/2024,06:36,07:00,12:13,12:45,01:52,02:15,04:07,05:37,06:00
05/01/2024,06:36,07:00,12:13,12:45,01:53,02:15,04:08,05:38,06:00
06/01/2024,06:33,07:00,12:14,12:45,01:54,02:15,04:09,05:39,06:00
07/01/2024,06:33,07:00,12:14,12:45,01:55,02:15,04:11,05:41,06:00
08/01/2024,06:31,07:00,12:14,12:45,01:56,02:15,04:12,05:42,06:00
09/01/2024,06:31,07:00,12:15,12:45,01:57,02:15,04:13,05:43,06:00
10/01/2024,06:30,07:00,12:15,12:45,01:59,02:15,04:15,05:45,06:00
11/01/2024,06:30,07:00,12:16,12:45,02:00,02:15,04:16,05:46,06:00
12/01/2024,06:30,07:00,12:16,12:45,02:00,02:30,04:18,05:48,06:15
13/01/2024,06:29,07:00,12:17,12:45,02:02,02:30,04:21,05:51,06:15
14/01/2024,06:28,07:00,12:17,12:45,02:04,02:30,04:22,05:52,06:15
15/01/2024,06:27,07:00,12:18,12:45,02:05,02:30,04:24,05:54,06:15
16/01/2024,06:27,07:00,12:18,12:45,02:06,02:30,04:26,05:56,06:15
17/01/2024,06:26,07:00,12:18,12:45,02:08,02:30,04:27,05:57,06:15
18/01/2024,06:25,07:00,12:19,12:45,02:10,02:30,04:29,05:59,06:15
19/01/2024,06:25,07:00,12:19,12:45,02:10,02:30,04:31,06:01,06:30
20/01/2024,06:24,07:00,12:19,12:45,02:12,02:30,04:33,06:03,06:30
21/01/2024,06:23,07:00,12:20,12:45,02:13,02:30,04:34,06:04,06:30
22/01/2024,06:22,07:00,12:20,12:45,02:15,02:30,04:36,06:06,06:30
23/01/2024,06:21,07:00,12:20,12:45,02:16,02:30,04:38,06:08,06:30
24/01/2024,06:20,07:00,12:20,12:45,02:18,02:30,04:40,06:10,06:30
25/01/2024,06:19,06:45,12:20,12:45,02:19,02:30,04:41,06:11,06:30
26/01/2024,06:18,06:45,12:20,12:45,02:21,02:45,04:43,06:13,06:30
27/01/2024,06:18,06:45,12:21,12:45,02:21,02:45,04:45,06:15,06:30
28/01/2024,06:15,06:45,12:21,12:45,02:24,02:45,04:47,06:17,06:30
29/01/2024,06:14,06:45,12:21,12:45,02:25,02:45,04:48,06:18,06:30
30/01/2024,06:13,06:45,12:21,12:45,02:27,02:45,04:49,06:19,06:30
31/01/2024,06:12,06:45,12:21,12:45,02:29,02:45,04:51,06:21,06:30
