Date,Fajr,Fajr-Jamaat,Dhuhr,Dhuhr-Jamaat,Asr,Asr-Jamaat,Maghrib,Isha
21/09/2023,05:18,05:45,13:01,13:30,16:17,16:45,19:12,20:36
22/09/2023,05:20,05:45,13:00,13:30,16:15,16:30,19:09,20:34
23/09/2023,05:22,05:45,13:00,13:30,16:14,16:30,19:07,20:31
24/09/2023,05:24,05:45,13:00,13:30,16:12,16:30,19:04,20:29
25/09/2023,05:25,05:45,12:59,13:30,16:10,16:30,19:02,20:27
26/09/2023,05:27,05:45,12:59,13:30,16:08,16:30,19:00,20:24
27/09/2023,05:29,05:45,12:59,13:30,16:07,16:30,18:57,20:22
28/09/2023,05:31,05:45,12:58,13:30,16:05,16:30,18:55,20:19
29/09/2023,05:33,06:00,12:58,13:30,16:03,16:30,18:53,20:17
30/09/2023,05:33,06:00,12:58,13:30,16:01,16:30,18:50,20:15
